title,views,when
"Gavin Newsom: This was an 'embarrassing, pathetic stunt' by DeSantis",379000,20160
A Trump conviction would prove he was 'reckless with national security': Haley,46000,20160
Kayleigh McEnany: This is backfiring massively on the left,824000,20160
This was a 'total setup' from liberal reporter to Biden: Marco Rubio,151000,20160
'I had to act': Marine vet charged in NYC chokehold death speaks out,68000,20160
White House accused of violating flag code with Pride display,225000,20160
James Comer: The Biden family had 20 shell companies,360000,20160
Gutfeld: Newsom should stick to destroying California,340000,20160
Trump indictment proves DC is a 'cesspool of dishonesty': Charlie Hurt,68000,20160
Kat Timpf: This is killing comedy,65000,20160
Lawrence Jones: These parents are terrified,107000,20160
Judge Jeanine on Trump indictment: 'This is crazy',163000,20160
Tulsi Gabbard: Biden deserves to be impeached if this is true,227000,20160
Texas deploys new strategy to handle migrant influx,713000,20160
Trump attorney: I’ve never seen such selective prosecution in my life,152000,20160
All of America should see this document: Rep. Marjorie Taylor Greene,481000,20160
Maybe AOC will jump into the primary: Mark Penn,36000,20160
Jesse Watters: The Biden admin wants Trump to die in prison,291000,20160
Bill Barr hits back at top Democrat over Biden probe: 'He's confused',181000,20160
Kayleigh McEnany: We’re now in uncharted territory,189000,30240
'RIDICULOUS': Moms group listed on extremist 'hate map',25000,30240
Michael Shellenberger: This sounds absolutely crazy,606000,30240
Real ‘criminal acts’ are being ignored: Charlie Hurt,27000,30240
James Comer: There are more Biden documents,483000,30240
‘The Five’: A ‘Squad’ member went off about being ‘anti-woke’,307000,30240
Martha Stewart warns America could 'go down the drain',81000,30240
"‘VIRTUAL CERTAINTY’: Trump will be charged for classified docs, Andy McCarthy says",80000,30240
Gutfeld: CNN showed its boss the door,182000,30240
Biden admin has a 'fatal attraction to nutty ideas': Sen. Kennedy,105000,30240
Is Prince Harry really concerned about public exposure?,21000,30240
Jesse Watters: Trudeau hasn’t apologized,225000,30240
Mike Pence: I will stand on a strong conservative agenda,17000,30240
AOC ripped for ‘incredibly dishonest’ tweet about smoke over NYC,365000,30240
EXODUS: Actor follows Mark Wahlberg's move out of Hollywood,312000,30240
There is no reason for the FBI to not hand over this document: Rep. James Comer,118000,30240
White House finally addresses Biden's commencement fall: 'Things happen',59000,30240
Ted Cruz: The mayor of New York decided his ideal resident is Hunter Biden,116000,30240
How can Americans win the culture war?,16000,30240
Top Republican claims FBI 'running cover' for Biden in Hunter probe,168000,30240
‘The Five’: Kamala Harris is undergoing another image reboot,382000,30240
Whistleblower alleges US military is hiding UFO retrieval program,132000,30240
"PGA, European golf tours merge with LIV",10000,30240
DeSantis' campaign hasn't 'caught fire' and this is how we know: Gingrich,31000,30240
Jesse Watters: College professor fails student for writing 'biological women',283000,30240
China knows ‘no bounds’: Top Republican,13000,30240
Biden used ‘bribe bait’: James Comer,407000,30240
Gutfeld: This is cruel,150000,30240
'Outnumbered' defends Casey DeSantis after 'disgusting' attack by media,296000,30240
"We're not really running against Joe Biden, GOP candidate warns",47000,30240
INTO THE LION'S DEN: Tim Scott to respond to 'The View's' race claims,49000,30240
Warning about Kamala Harris' chances of becoming president,359000,30240
San Diego business owner criticizes costly plan to buy hotels to house homeless,29000,30240
Mark Levin: This is 'frightening',654000,30240
Gutfeld: San Fran put out a glitzy propaganda ad,241000,30240
California approves ‘shocking’ policy giving weekly checks to migrants: Report,323000,30240
"Newly-released texts reveal 'chummy' relationship between teachers union, CDC",138000,30240
"Ride-share app uses licensed, armed drivers to protect riders",56000,30240
Tyrus welcomes you to 'FOX News Saturday Night',95000,30240
Walgreens locking down its aisles in wake of robberies,240000,30240
Joey Jones: Democrats are sitting back and watching the debt ceiling climb,29000,30240
East Palestine resident says 'anxiety still very real' four months following derailment,27000,30240
New CA law could put these goat herders out of a job,131000,30240
Murder in the Ivy League: The death of Annie Le | The FOX True Crime Podcast,12000,30240
Gutfeld: Trump told us not to joke about Biden's mental health,416000,30240
Trump: My presidency was under siege from day one,79000,30240
Jen Psaki torched for 'BS' claim about Republican voters,103000,30240
Tyrus tears into Biden admin: 'This is The Wizard of Oz',264000,40320
Hunter Biden expected to use the Second Amendment as legal defense,119000,40320
Trump touts success of his energy policies: 'We have liquid gold',44000,40320
How Equity & Progress Are Killing People,10000,40320
Trump reveals actions he'll take in first 6 months as president,360000,40320
‘The Five’: Oakland residents have had enough of rampant crime,384000,40320
Dodgers star stands up against Pride invite to anti-Catholic group,275000,40320
Tim Scott rips into Biden admin: 'Weaponizing race',36000,40320
Nancy Mace: This is a 'bad deal' for America,26000,40320
Gutfeld: This is not OK,146000,40320
Karl Rove: Nobody wants this to happen,25000,40320
Gutfeld: Sunny Hostin is an expert at calling people racist,358000,40320
This is Trump's 'secret gift': Charlie Hurt,156000,40320
Emily Compagno: The concerns about Biden are becoming very real,160000,40320
Kayleigh McEnany: We have lost something here,74000,43200
Peter Doocy presses Karine Jean-Pierre on Biden's campaign absence,217000,43200
House Freedom Caucus rails debt deal: 'One of the biggest abominations',35000,43200
"DeSantis: If Hunter were a Republican, he would have been in jail years ago",56000,43200
This captures the 'horrific' moment Marines endure in alleged teen assault: Sgt. Mike Woodroof,131000,43200
Tulsi Gabbard: Politicians have used veterans as 'cannon fodder',25000,43200
‘The Five’ reacts to deadly weekend in Chicago: ‘God help us’,401000,43200
Kellyanne Conway: This is a no-show presidency,78000,43200
Judge Jeanine: This started with Obama,247000,43200
The inside scoop on the debt deal | Ben Domenech Podcast,14000,43200
This is Washington’s ‘favorite’ kind of corruption: Turley,195000,43200
Peter Doocy warns of possible debt default if House fails to pass bill,106000,43200
2024 hopeful rips DNC for 'making it easier' for Biden to win,67000,43200
'I will destroy leftism in America': DeSantis makes confident 2024 prediction,318000,43200
'The Final Journey' honors World War II veterans,7800,43200
‘Simply ignore it’ says Florida Black business owner on NAACP’s travel advisory,65000,43200
'The Big Sunday Show' salutes American heroes on Memorial Day,17000,43200
Trump official warns against China's global influence: 'They're relentless',43000,43200
Debt deal would deal major blow to Democrats’ new IRS funding,271000,43200
'NOT AN ERROR': Ramaswamy sounds off on LinkedIn over alleged censorship,40000,43200
West Point should have had 'somebody else' give this speech: Sara Carter,322000,43200
"Biden, McCarthy reach 'agreement in principle' in debt ceiling talks",172000,43200
This Trump mega-donor explains why he now backs DeSantis,185000,43200
Climate activists cause global mayhem in latest swing of protests,52000,43200
Customers flee woke companies as new Conservative marketplace blossoms,1000000,43200
Tulsi Gabbard: The Democratic Party is tearing us apart,116000,43200
The apology tour is enough: Former Sen. Scott Brown,27000,43200
Jesse Watters: This is Biden's weakest political position of his presidency,117000,43200
Ingraham: Biden's economic world order is falling apart,265000,43200
Steve Forbes' bold prediction: Joe Biden will NOT be the nominee,263000,43200
China would attack American homeland 'massively' if war starts: Gen. Keane,841000,43200
Tudor Dixon: The Left Is Waging A War On Hot Chicks | Fox Across America,32000,43200
BLM accused of hiding behind 'woke word salads' as financial freefall looms,145000,43200
Trey Gowdy: Politics ruins everything it comes in contact with,39000,43200
'The Five': Hunter Biden IRS whistleblower speaks out for first time,705000,43200
ABC should apologize for Joy Behar's remarks: Arroyo,542000,43200
"Trump trolls 'Rob DeSanctimonious,' warns him about Marxist 'lunatics'",99000,43200
Black Lives Matter heads for bankruptcy: 'As shady as Hunter Biden',383000,43200
Matt Taibbi: This is ‘very concerning’,431000,43200
Ron DeSantis: I'm running to lead a 'Great American Comeback',243000,43200
Ingraham: Trump is the only candidate with ‘credibility’,152000,43200
Drive-by shooting caught on camera during TV interview,66000,43200
Female cyclocross racer loses to trans competitor: 'Power beat skill',361000,43200
FBI slammed over alleged 'criminal scheme' doc: 'Team Biden wins again',159000,43200
Trey Gowdy: Why is the media berating Tim Scott about this?,29000,43200
This ‘shows the double standard’: Rep. Jim Jordan,64000,43200
Judge Jeanine: This plan to combat shoplifting is nonsense,170000,43200
Tulsi Gabbard: They are ‘deathly afraid’ of Bobby Kennedy,766000,43200
Tulsi Gabbard: It's sad the left has to 'manufacture' this crisis,128000,43200
Marine vet gets explosion of donations to help NYC legal battle,60000,43200
Gutfeld: This is one heck of a plan to tackle crime,214000,43200
How to prevent a shark attack this Memorial Day Weekend: Shark expert,12000,43200
Hannity: The White House has been ‘stonewalling’ McCarthy,87000,43200
Judge Jeanine: The View is ‘hateful’,325000,43200
NYT torched for 'journalistic malpractice' with border op-ed,57000,43200
NAACP slammed for 'stupid' Florida travel warning,104000,43200
Steve Hilton: FBI is operating as an enforcer of the Democratic Party's agenda,43000,43200
Daniel Penny breaks silence on subway chokehold death,122000,43200
Swimmer Riley Gaines calls out the 'systemic attempt to erase women' over trans athletes,52000,43200
FBI whistleblowers accuse agency of retaliation: House Judiciary report,48000,43200
FBI torched for refusing to reveal file on alleged Biden 'criminal scheme',335000,43200
‘NOTHING TO DO WITH RACE’: Marine veteran breaks silence over subway death,131000,43200
Judge Jeanine: This should never have happened,79000,43200
Will Cain: Driving racial division has become a major feature of the media,65000,43200
'TOTALLY UNSUSTAINABLE': Former OMB director sounds off on Dems' debt ceiling position,35000,43200
RFK Jr. campaign manager reveals the path to Democrat nomination,98000,43200
Laura: This has got to stop,108000,43200
Trey Gowdy: Dianne Dianne Feinstein 'not progressive enough' for Democrats,40000,43200
'The Five': Elon Musk calls remote work 'bullsh*t' and 'morally wrong',93000,43200
Ingraham: Alvin Bragg’s top priority is ‘hunting down heroes’,93000,43200
Emily Compagno sounds off on criticism of Elon Musk: 'This is the woke mob',72000,43200
Mike Rowe delivers warning: We need to 'tap the brakes',34000,43200
Vivek Ramaswamy on raising the voting age: 'Revival of civic duty' | Will Cain Podcast,29000,43200
Lawyer for FBI whistleblower shares what’s next after House hearing,134000,43200
'Sticky' Sam Brinton arrested again: Jesse Watters,718000,43200
Judge Jeanine: Liberal media is 'desperately searching' for Biden's replacement,265000,43200
'Gross': Magazine brutally mocked for glowing Pete Buttigieg profile,55000,43200
Mike Rowe: This has ‘unleashed a storm’ of ‘unintended consequences’,884000,43200
7th-grader's 'Only 2 Genders' shirt triggers free speech battle,1200000,43200
Kevin McCarthy pledges debt ceiling will not get raised with no changes,60000,43200
Sen. Kennedy urges Lopez Obrador to act against cartels for 'poisoning our children',69000,43200
Jesse Watters: Soros is behind this,477000,43200
Kayleigh McEnany: Kamala Harris doesn't have her facts straight,164000,43200
Kellyanne Conway breaks down DeSantis' best path to 2024,53000,43200
Biden strikes key Democrat from 2024 advisory board,243000,43200
Durham report: Schiff staffer reportedly intimidated researcher over Trump-Russia ties,568000,43200
Miranda Devine: The DOJ is intervening in the Hunter Biden case,101000,43200
Jesse Watters: Obama is being starved for attention,409000,43200
Tyrus: San Francisco will be a 'zombie world',765000,43200
Miller Lite slammed for 'woke' ad: 'Why are they messing with beer drinkers?',189000,43200
This hoax was made to look like a real investigation: Tolman,63000,43200
'So damning': 'Fox & Friends' reacts to bombshell Durham report,178000,43200
'TREASONOUS CHARADE': Trump reacts to release of Durham report,704000,43200
This is ‘the rot’ of the justice system: Dana Loesch,124000,43200
Hannity: The Russia ‘hysteria’ has ended,180000,43200
'The Five': Biden thinks ‘White supremacy’ is greatest threat to US,75000,43200
Biden faces fierce backlash for ‘White supremacy’ warning,450000,43200
DeSantis has delivered a tsunami of conservative reform: Thiessen,59000,43200
Biden admin ripped for what they claim as the 'greatest threat' against US,98000,43200
'An F on everything': Americans grade Biden's handling of border crisis,57000,43200
What happened in closed-door House hearing with ex-CIA boss?,783000,43200
Rep. Donalds blasts Biden admin for ‘gaslighting’ Americans on border crisis,147000,43200
Judge Jeanine: This is a sad case,152000,43200
Marco Rubio: We've never seen this in America before,107000,43200
Alvin Bragg's charges against Marine veteran are based on race: Lee Zeldin,59000,43200
Ted Cruz torches 'AWOL' Biden as border crisis primed to intensify,131000,43200
Kevin McCarthy: We have a severe problem if FBI can do this,507000,43200
Blinken should be impeached for role in Hunter laptop letter: Miranda Devine,264000,43200
Escaping a serial killer | The FOX True Crime Podcast,18000,43200
Nancy Mace: Amount of evidence in Biden probe is 'ridiculous',278000,43200
Kayleigh McEnany: The Biden campaign is in 'total chaos',124000,43200
Gutfeld: They're going to bring race into subway choke death case,272000,43200
Anderson Cooper ripped for 'condescending' message after Trump town hall,148000,43200
Steve Forbes destroys Biden’s green agenda: ‘This thing doesn’t work’,67000,43200
CNN's audience cheering for Trump triggers liberal meltdown,1600000,43200
Alvin Bragg torched for prosecuting Marine in subway chokehold incident,347000,43200
Byron Donalds: CNN ignored the important issues at Trump town hall,162000,43200
Disney CEO calls out DeSantis in ongoing clash,25000,43200
James Comer: Biden family members will 'more than likely' be subpoenaed,221000,43200
Gutfeld: This could happen to you,190000,43200
'Absolutely preposterous' for networks to ignore this: Compagno,66000,43200
"ABC, CBS, NBC bury Hunter Biden revelations",399000,43200
Trump: This day will live in infamy,276000,43200
