title,views,when,words
Ingraham: The Bidens got ‘sleazier’,162000,8640,"['ingraham', 'the', 'bidens', 'got', 'sleazier']"
This is the left's next battleground: Leo Terrell,106000,10080,"['this', 'is', 'the', 'lefts', 'next', 'battleground', 'leo', 'terrell']"
DOJ needs to ‘answer’ for this: IRS whistleblower attorney,62000,10080,"['doj', 'needs', 'to', 'answer', 'for', 'this', 'irs', 'whistleblower', 'attorney']"
Kayleigh McEnany: This is explosive information about Hunter Biden,289000,10080,"['kayleigh', 'mcenany', 'this', 'is', 'explosive', 'information', 'about', 'hunter', 'biden']"
Rep. Jason Smith: Whistleblowers show the government has two-tiered justice system,35000,10080,"['rep', 'jason', 'smith', 'whistleblowers', 'show', 'the', 'government', 'has', 'twotiered', 'justice', 'system']"
Hannity: IRS whistleblowers emerge with explosive allegations about Hunter Biden probe,209000,10080,"['hannity', 'irs', 'whistleblowers', 'emerge', 'with', 'explosive', 'allegations', 'about', 'hunter', 'biden', 'probe']"
Judge Jeanine: Democrats don't want to admit this,211000,10080,"['judge', 'jeanine', 'democrats', 'dont', 'want', 'to', 'admit', 'this']"
"Whether you like Trump or not, he was telling the truth: GOP rep",260000,11520,"['whether', 'you', 'like', 'trump', 'or', 'not', 'he', 'was', 'telling', 'the', 'truth', 'gop', 'rep']"
Former Titan passenger: ‘You accept a lot of risk’,38000,11520,"['former', 'titan', 'passenger', 'you', 'accept', 'a', 'lot', 'of', 'risk']"
Ingraham: America needs to begin decoupling from China,51000,11520,"['ingraham', 'america', 'needs', 'to', 'begin', 'decoupling', 'from', 'china']"
Americans think there is an FBI double standard because there is: Rep. Jim Jordan,65000,11520,"['americans', 'think', 'there', 'is', 'an', 'fbi', 'double', 'standard', 'because', 'there', 'is', 'rep', 'jim', 'jordan']"
Ron DeSantis: This is a hoax,283000,11520,"['ron', 'desantis', 'this', 'is', 'a', 'hoax']"
'The Five': Democrats BLOW UP as Durham testifies before congress,575000,11520,"['the', 'five', 'democrats', 'blow', 'up', 'as', 'durham', 'testifies', 'before', 'congress']"
'SOME EXPLAINING TO DO': White House misses another congressional deadline,85000,12960,"['some', 'explaining', 'to', 'do', 'white', 'house', 'misses', 'another', 'congressional', 'deadline']"
Hunter Biden unlikely to face jail time following 'lenient' plea deal,12000,12960,"['hunter', 'biden', 'unlikely', 'to', 'face', 'jail', 'time', 'following', 'lenient', 'plea', 'deal']"
This is how you prevent World War III: Rep Mike Waltz,25000,12960,"['this', 'is', 'how', 'you', 'prevent', 'world', 'war', 'iii', 'rep', 'mike', 'waltz']"
Biden is willing to be tough on these crimes unless it is his kid: Brett Tolman,35000,12960,"['biden', 'is', 'willing', 'to', 'be', 'tough', 'on', 'these', 'crimes', 'unless', 'it', 'is', 'his', 'kid', 'brett', 'tolman']"
Jesse Watters: Is President Biden still proud of Hunter?,202000,12960,"['jesse', 'watters', 'is', 'president', 'biden', 'still', 'proud', 'of', 'hunter']"
"Leo Terrell on Hunter Biden deal: If you're a Democrat, you get off scot-free",43000,12960,"['leo', 'terrell', 'on', 'hunter', 'biden', 'deal', 'if', 'youre', 'a', 'democrat', 'you', 'get', 'off', 'scotfree']"
America’s adversaries ‘smell weakness’ in the White House: Rep. Waltz,20000,14400,"['americas', 'adversaries', 'smell', 'weakness', 'in', 'the', 'white', 'house', 'rep', 'waltz']"
Joe is bad and Fetterman is worse: Gutfeld,324000,14400,"['joe', 'is', 'bad', 'and', 'fetterman', 'is', 'worse', 'gutfeld']"
Does RFK Jr. have a point? | Will Cain Podcast,48000,14400,"['does', 'rfk', 'jr', 'have', 'a', 'point', 'will', 'cain', 'podcast']"
Somebody should tell Biden it’s 2023: Raymond Arroyo,379000,14400,"['somebody', 'should', 'tell', 'biden', 'its', 'raymond', 'arroyo']"
Jesse Watters: The White House can't protect Biden from this,1200000,14400,"['jesse', 'watters', 'the', 'white', 'house', 'cant', 'protect', 'biden', 'from', 'this']"
Donald Trump speaks out in exclusive upcoming interview,493000,14400,"['donald', 'trump', 'speaks', 'out', 'in', 'exclusive', 'upcoming', 'interview']"
Titanic tourist submersible missing in Atlantic Ocean,85000,15840,"['titanic', 'tourist', 'submersible', 'missing', 'in', 'atlantic', 'ocean']"
NOT GOOD: China expert warns of Beiing's tactic to 'humiliate' US,90000,15840,"['not', 'good', 'china', 'expert', 'warns', 'of', 'beiings', 'tactic', 'to', 'humiliate', 'us']"
