title,views,when,words
Tim Scott rips into Biden admin: 'Weaponizing race',36000,40320,"['tim', 'scott', 'rips', 'into', 'biden', 'admin', 'weaponizing', 'race']"
Nancy Mace: This is a 'bad deal' for America,26000,40320,"['nancy', 'mace', 'this', 'is', 'a', 'bad', 'deal', 'for', 'america']"
Gutfeld: This is not OK,146000,40320,"['gutfeld', 'this', 'is', 'not', 'ok']"
Karl Rove: Nobody wants this to happen,25000,40320,"['karl', 'rove', 'nobody', 'wants', 'this', 'to', 'happen']"
Gutfeld: Sunny Hostin is an expert at calling people racist,358000,40320,"['gutfeld', 'sunny', 'hostin', 'is', 'an', 'expert', 'at', 'calling', 'people', 'racist']"
This is Trump's 'secret gift': Charlie Hurt,156000,40320,"['this', 'is', 'trumps', 'secret', 'gift', 'charlie', 'hurt']"
Emily Compagno: The concerns about Biden are becoming very real,160000,40320,"['emily', 'compagno', 'the', 'concerns', 'about', 'biden', 'are', 'becoming', 'very', 'real']"
Kayleigh McEnany: We have lost something here,74000,43200,"['kayleigh', 'mcenany', 'we', 'have', 'lost', 'something', 'here']"
Peter Doocy presses Karine Jean-Pierre on Biden's campaign absence,217000,43200,"['peter', 'doocy', 'presses', 'karine', 'jeanpierre', 'on', 'bidens', 'campaign', 'absence']"
House Freedom Caucus rails debt deal: 'One of the biggest abominations',35000,43200,"['house', 'freedom', 'caucus', 'rails', 'debt', 'deal', 'one', 'of', 'the', 'biggest', 'abominations']"
"DeSantis: If Hunter were a Republican, he would have been in jail years ago",56000,43200,"['desantis', 'if', 'hunter', 'were', 'a', 'republican', 'he', 'would', 'have', 'been', 'in', 'jail', 'years', 'ago']"
This captures the 'horrific' moment Marines endure in alleged teen assault: Sgt. Mike Woodroof,131000,43200,"['this', 'captures', 'the', 'horrific', 'moment', 'marines', 'endure', 'in', 'alleged', 'teen', 'assault', 'sgt', 'mike', 'woodroof']"
Tulsi Gabbard: Politicians have used veterans as 'cannon fodder',25000,43200,"['tulsi', 'gabbard', 'politicians', 'have', 'used', 'veterans', 'as', 'cannon', 'fodder']"
‘The Five’ reacts to deadly weekend in Chicago: ‘God help us’,401000,43200,"['the', 'five', 'reacts', 'to', 'deadly', 'weekend', 'in', 'chicago', 'god', 'help', 'us']"
Kellyanne Conway: This is a no-show presidency,78000,43200,"['kellyanne', 'conway', 'this', 'is', 'a', 'noshow', 'presidency']"
Judge Jeanine: This started with Obama,247000,43200,"['judge', 'jeanine', 'this', 'started', 'with', 'obama']"
The inside scoop on the debt deal | Ben Domenech Podcast,14000,43200,"['the', 'inside', 'scoop', 'on', 'the', 'debt', 'deal', 'ben', 'domenech', 'podcast']"
This is Washington’s ‘favorite’ kind of corruption: Turley,195000,43200,"['this', 'is', 'washingtons', 'favorite', 'kind', 'of', 'corruption', 'turley']"
Peter Doocy warns of possible debt default if House fails to pass bill,106000,43200,"['peter', 'doocy', 'warns', 'of', 'possible', 'debt', 'default', 'if', 'house', 'fails', 'to', 'pass', 'bill']"
2024 hopeful rips DNC for 'making it easier' for Biden to win,67000,43200,"['hopeful', 'rips', 'dnc', 'for', 'making', 'it', 'easier', 'for', 'biden', 'to', 'win']"
'I will destroy leftism in America': DeSantis makes confident 2024 prediction,318000,43200,"['i', 'will', 'destroy', 'leftism', 'in', 'america', 'desantis', 'makes', 'confident', 'prediction']"
'The Final Journey' honors World War II veterans,7800,43200,"['the', 'final', 'journey', 'honors', 'world', 'war', 'ii', 'veterans']"
‘Simply ignore it’ says Florida Black business owner on NAACP’s travel advisory,65000,43200,"['simply', 'ignore', 'it', 'says', 'florida', 'black', 'business', 'owner', 'on', 'naacps', 'travel', 'advisory']"
'The Big Sunday Show' salutes American heroes on Memorial Day,17000,43200,"['the', 'big', 'sunday', 'show', 'salutes', 'american', 'heroes', 'on', 'memorial', 'day']"
Trump official warns against China's global influence: 'They're relentless',43000,43200,"['trump', 'official', 'warns', 'against', 'chinas', 'global', 'influence', 'theyre', 'relentless']"
Debt deal would deal major blow to Democrats’ new IRS funding,271000,43200,"['debt', 'deal', 'would', 'deal', 'major', 'blow', 'to', 'democrats', 'new', 'irs', 'funding']"
'NOT AN ERROR': Ramaswamy sounds off on LinkedIn over alleged censorship,40000,43200,"['not', 'an', 'error', 'ramaswamy', 'sounds', 'off', 'on', 'linkedin', 'over', 'alleged', 'censorship']"
West Point should have had 'somebody else' give this speech: Sara Carter,322000,43200,"['west', 'point', 'should', 'have', 'had', 'somebody', 'else', 'give', 'this', 'speech', 'sara', 'carter']"
"Biden, McCarthy reach 'agreement in principle' in debt ceiling talks",172000,43200,"['biden', 'mccarthy', 'reach', 'agreement', 'in', 'principle', 'in', 'debt', 'ceiling', 'talks']"
This Trump mega-donor explains why he now backs DeSantis,185000,43200,"['this', 'trump', 'megadonor', 'explains', 'why', 'he', 'now', 'backs', 'desantis']"
Climate activists cause global mayhem in latest swing of protests,52000,43200,"['climate', 'activists', 'cause', 'global', 'mayhem', 'in', 'latest', 'swing', 'of', 'protests']"
Customers flee woke companies as new Conservative marketplace blossoms,1000000,43200,"['customers', 'flee', 'woke', 'companies', 'as', 'new', 'conservative', 'marketplace', 'blossoms']"
Tulsi Gabbard: The Democratic Party is tearing us apart,116000,43200,"['tulsi', 'gabbard', 'the', 'democratic', 'party', 'is', 'tearing', 'us', 'apart']"
The apology tour is enough: Former Sen. Scott Brown,27000,43200,"['the', 'apology', 'tour', 'is', 'enough', 'former', 'sen', 'scott', 'brown']"
Jesse Watters: This is Biden's weakest political position of his presidency,117000,43200,"['jesse', 'watters', 'this', 'is', 'bidens', 'weakest', 'political', 'position', 'of', 'his', 'presidency']"
Ingraham: Biden's economic world order is falling apart,265000,43200,"['ingraham', 'bidens', 'economic', 'world', 'order', 'is', 'falling', 'apart']"
Steve Forbes' bold prediction: Joe Biden will NOT be the nominee,263000,43200,"['steve', 'forbes', 'bold', 'prediction', 'joe', 'biden', 'will', 'not', 'be', 'the', 'nominee']"
China would attack American homeland 'massively' if war starts: Gen. Keane,841000,43200,"['china', 'would', 'attack', 'american', 'homeland', 'massively', 'if', 'war', 'starts', 'gen', 'keane']"
Tudor Dixon: The Left Is Waging A War On Hot Chicks | Fox Across America,32000,43200,"['tudor', 'dixon', 'the', 'left', 'is', 'waging', 'a', 'war', 'on', 'hot', 'chicks', 'fox', 'across', 'america']"
BLM accused of hiding behind 'woke word salads' as financial freefall looms,145000,43200,"['blm', 'accused', 'of', 'hiding', 'behind', 'woke', 'word', 'salads', 'as', 'financial', 'freefall', 'looms']"
Trey Gowdy: Politics ruins everything it comes in contact with,39000,43200,"['trey', 'gowdy', 'politics', 'ruins', 'everything', 'it', 'comes', 'in', 'contact', 'with']"
'The Five': Hunter Biden IRS whistleblower speaks out for first time,705000,43200,"['the', 'five', 'hunter', 'biden', 'irs', 'whistleblower', 'speaks', 'out', 'for', 'first', 'time']"
ABC should apologize for Joy Behar's remarks: Arroyo,542000,43200,"['abc', 'should', 'apologize', 'for', 'joy', 'behars', 'remarks', 'arroyo']"
"Trump trolls 'Rob DeSanctimonious,' warns him about Marxist 'lunatics'",99000,43200,"['trump', 'trolls', 'rob', 'desanctimonious', 'warns', 'him', 'about', 'marxist', 'lunatics']"
Black Lives Matter heads for bankruptcy: 'As shady as Hunter Biden',383000,43200,"['black', 'lives', 'matter', 'heads', 'for', 'bankruptcy', 'as', 'shady', 'as', 'hunter', 'biden']"
Matt Taibbi: This is ‘very concerning’,431000,43200,"['matt', 'taibbi', 'this', 'is', 'very', 'concerning']"
Ron DeSantis: I'm running to lead a 'Great American Comeback',243000,43200,"['ron', 'desantis', 'im', 'running', 'to', 'lead', 'a', 'great', 'american', 'comeback']"
Ingraham: Trump is the only candidate with ‘credibility’,152000,43200,"['ingraham', 'trump', 'is', 'the', 'only', 'candidate', 'with', 'credibility']"
Drive-by shooting caught on camera during TV interview,66000,43200,"['driveby', 'shooting', 'caught', 'on', 'camera', 'during', 'tv', 'interview']"
Female cyclocross racer loses to trans competitor: 'Power beat skill',361000,43200,"['female', 'cyclocross', 'racer', 'loses', 'to', 'trans', 'competitor', 'power', 'beat', 'skill']"
FBI slammed over alleged 'criminal scheme' doc: 'Team Biden wins again',159000,43200,"['fbi', 'slammed', 'over', 'alleged', 'criminal', 'scheme', 'doc', 'team', 'biden', 'wins', 'again']"
Trey Gowdy: Why is the media berating Tim Scott about this?,29000,43200,"['trey', 'gowdy', 'why', 'is', 'the', 'media', 'berating', 'tim', 'scott', 'about', 'this']"
This ‘shows the double standard’: Rep. Jim Jordan,64000,43200,"['this', 'shows', 'the', 'double', 'standard', 'rep', 'jim', 'jordan']"
Judge Jeanine: This plan to combat shoplifting is nonsense,170000,43200,"['judge', 'jeanine', 'this', 'plan', 'to', 'combat', 'shoplifting', 'is', 'nonsense']"
Tulsi Gabbard: They are ‘deathly afraid’ of Bobby Kennedy,766000,43200,"['tulsi', 'gabbard', 'they', 'are', 'deathly', 'afraid', 'of', 'bobby', 'kennedy']"
Tulsi Gabbard: It's sad the left has to 'manufacture' this crisis,128000,43200,"['tulsi', 'gabbard', 'its', 'sad', 'the', 'left', 'has', 'to', 'manufacture', 'this', 'crisis']"
Marine vet gets explosion of donations to help NYC legal battle,60000,43200,"['marine', 'vet', 'gets', 'explosion', 'of', 'donations', 'to', 'help', 'nyc', 'legal', 'battle']"
Gutfeld: This is one heck of a plan to tackle crime,214000,43200,"['gutfeld', 'this', 'is', 'one', 'heck', 'of', 'a', 'plan', 'to', 'tackle', 'crime']"
How to prevent a shark attack this Memorial Day Weekend: Shark expert,12000,43200,"['how', 'to', 'prevent', 'a', 'shark', 'attack', 'this', 'memorial', 'day', 'weekend', 'shark', 'expert']"
Hannity: The White House has been ‘stonewalling’ McCarthy,87000,43200,"['hannity', 'the', 'white', 'house', 'has', 'been', 'stonewalling', 'mccarthy']"
Judge Jeanine: The View is ‘hateful’,325000,43200,"['judge', 'jeanine', 'the', 'view', 'is', 'hateful']"
NYT torched for 'journalistic malpractice' with border op-ed,57000,43200,"['nyt', 'torched', 'for', 'journalistic', 'malpractice', 'with', 'border', 'oped']"
NAACP slammed for 'stupid' Florida travel warning,104000,43200,"['naacp', 'slammed', 'for', 'stupid', 'florida', 'travel', 'warning']"
Steve Hilton: FBI is operating as an enforcer of the Democratic Party's agenda,43000,43200,"['steve', 'hilton', 'fbi', 'is', 'operating', 'as', 'an', 'enforcer', 'of', 'the', 'democratic', 'partys', 'agenda']"
Daniel Penny breaks silence on subway chokehold death,122000,43200,"['daniel', 'penny', 'breaks', 'silence', 'on', 'subway', 'chokehold', 'death']"
Swimmer Riley Gaines calls out the 'systemic attempt to erase women' over trans athletes,52000,43200,"['swimmer', 'riley', 'gaines', 'calls', 'out', 'the', 'systemic', 'attempt', 'to', 'erase', 'women', 'over', 'trans', 'athletes']"
FBI whistleblowers accuse agency of retaliation: House Judiciary report,48000,43200,"['fbi', 'whistleblowers', 'accuse', 'agency', 'of', 'retaliation', 'house', 'judiciary', 'report']"
FBI torched for refusing to reveal file on alleged Biden 'criminal scheme',335000,43200,"['fbi', 'torched', 'for', 'refusing', 'to', 'reveal', 'file', 'on', 'alleged', 'biden', 'criminal', 'scheme']"
‘NOTHING TO DO WITH RACE’: Marine veteran breaks silence over subway death,131000,43200,"['nothing', 'to', 'do', 'with', 'race', 'marine', 'veteran', 'breaks', 'silence', 'over', 'subway', 'death']"
Judge Jeanine: This should never have happened,79000,43200,"['judge', 'jeanine', 'this', 'should', 'never', 'have', 'happened']"
Will Cain: Driving racial division has become a major feature of the media,65000,43200,"['will', 'cain', 'driving', 'racial', 'division', 'has', 'become', 'a', 'major', 'feature', 'of', 'the', 'media']"
'TOTALLY UNSUSTAINABLE': Former OMB director sounds off on Dems' debt ceiling position,35000,43200,"['totally', 'unsustainable', 'former', 'omb', 'director', 'sounds', 'off', 'on', 'dems', 'debt', 'ceiling', 'position']"
RFK Jr. campaign manager reveals the path to Democrat nomination,98000,43200,"['rfk', 'jr', 'campaign', 'manager', 'reveals', 'the', 'path', 'to', 'democrat', 'nomination']"
Laura: This has got to stop,108000,43200,"['laura', 'this', 'has', 'got', 'to', 'stop']"
Trey Gowdy: Dianne Dianne Feinstein 'not progressive enough' for Democrats,40000,43200,"['trey', 'gowdy', 'dianne', 'dianne', 'feinstein', 'not', 'progressive', 'enough', 'for', 'democrats']"
'The Five': Elon Musk calls remote work 'bullsh*t' and 'morally wrong',93000,43200,"['the', 'five', 'elon', 'musk', 'calls', 'remote', 'work', 'bullsht', 'and', 'morally', 'wrong']"
Ingraham: Alvin Bragg’s top priority is ‘hunting down heroes’,93000,43200,"['ingraham', 'alvin', 'braggs', 'top', 'priority', 'is', 'hunting', 'down', 'heroes']"
Emily Compagno sounds off on criticism of Elon Musk: 'This is the woke mob',72000,43200,"['emily', 'compagno', 'sounds', 'off', 'on', 'criticism', 'of', 'elon', 'musk', 'this', 'is', 'the', 'woke', 'mob']"
Mike Rowe delivers warning: We need to 'tap the brakes',34000,43200,"['mike', 'rowe', 'delivers', 'warning', 'we', 'need', 'to', 'tap', 'the', 'brakes']"
Vivek Ramaswamy on raising the voting age: 'Revival of civic duty' | Will Cain Podcast,29000,43200,"['vivek', 'ramaswamy', 'on', 'raising', 'the', 'voting', 'age', 'revival', 'of', 'civic', 'duty', 'will', 'cain', 'podcast']"
Lawyer for FBI whistleblower shares what’s next after House hearing,134000,43200,"['lawyer', 'for', 'fbi', 'whistleblower', 'shares', 'whats', 'next', 'after', 'house', 'hearing']"
'Sticky' Sam Brinton arrested again: Jesse Watters,718000,43200,"['sticky', 'sam', 'brinton', 'arrested', 'again', 'jesse', 'watters']"
Judge Jeanine: Liberal media is 'desperately searching' for Biden's replacement,265000,43200,"['judge', 'jeanine', 'liberal', 'media', 'is', 'desperately', 'searching', 'for', 'bidens', 'replacement']"
'Gross': Magazine brutally mocked for glowing Pete Buttigieg profile,55000,43200,"['gross', 'magazine', 'brutally', 'mocked', 'for', 'glowing', 'pete', 'buttigieg', 'profile']"
Mike Rowe: This has ‘unleashed a storm’ of ‘unintended consequences’,884000,43200,"['mike', 'rowe', 'this', 'has', 'unleashed', 'a', 'storm', 'of', 'unintended', 'consequences']"
7th-grader's 'Only 2 Genders' shirt triggers free speech battle,1200000,43200,"['thgraders', 'only', 'genders', 'shirt', 'triggers', 'free', 'speech', 'battle']"
Kevin McCarthy pledges debt ceiling will not get raised with no changes,60000,43200,"['kevin', 'mccarthy', 'pledges', 'debt', 'ceiling', 'will', 'not', 'get', 'raised', 'with', 'no', 'changes']"
Sen. Kennedy urges Lopez Obrador to act against cartels for 'poisoning our children',69000,43200,"['sen', 'kennedy', 'urges', 'lopez', 'obrador', 'to', 'act', 'against', 'cartels', 'for', 'poisoning', 'our', 'children']"
Jesse Watters: Soros is behind this,477000,43200,"['jesse', 'watters', 'soros', 'is', 'behind', 'this']"
Kayleigh McEnany: Kamala Harris doesn't have her facts straight,164000,43200,"['kayleigh', 'mcenany', 'kamala', 'harris', 'doesnt', 'have', 'her', 'facts', 'straight']"
Kellyanne Conway breaks down DeSantis' best path to 2024,53000,43200,"['kellyanne', 'conway', 'breaks', 'down', 'desantis', 'best', 'path', 'to']"
Biden strikes key Democrat from 2024 advisory board,243000,43200,"['biden', 'strikes', 'key', 'democrat', 'from', 'advisory', 'board']"
Durham report: Schiff staffer reportedly intimidated researcher over Trump-Russia ties,568000,43200,"['durham', 'report', 'schiff', 'staffer', 'reportedly', 'intimidated', 'researcher', 'over', 'trumprussia', 'ties']"
Miranda Devine: The DOJ is intervening in the Hunter Biden case,101000,43200,"['miranda', 'devine', 'the', 'doj', 'is', 'intervening', 'in', 'the', 'hunter', 'biden', 'case']"
Jesse Watters: Obama is being starved for attention,409000,43200,"['jesse', 'watters', 'obama', 'is', 'being', 'starved', 'for', 'attention']"
Tyrus: San Francisco will be a 'zombie world',765000,43200,"['tyrus', 'san', 'francisco', 'will', 'be', 'a', 'zombie', 'world']"
Miller Lite slammed for 'woke' ad: 'Why are they messing with beer drinkers?',189000,43200,"['miller', 'lite', 'slammed', 'for', 'woke', 'ad', 'why', 'are', 'they', 'messing', 'with', 'beer', 'drinkers']"
This hoax was made to look like a real investigation: Tolman,63000,43200,"['this', 'hoax', 'was', 'made', 'to', 'look', 'like', 'a', 'real', 'investigation', 'tolman']"
'So damning': 'Fox & Friends' reacts to bombshell Durham report,178000,43200,"['so', 'damning', 'fox', 'friends', 'reacts', 'to', 'bombshell', 'durham', 'report']"
'TREASONOUS CHARADE': Trump reacts to release of Durham report,704000,43200,"['treasonous', 'charade', 'trump', 'reacts', 'to', 'release', 'of', 'durham', 'report']"
This is ‘the rot’ of the justice system: Dana Loesch,124000,43200,"['this', 'is', 'the', 'rot', 'of', 'the', 'justice', 'system', 'dana', 'loesch']"
Hannity: The Russia ‘hysteria’ has ended,180000,43200,"['hannity', 'the', 'russia', 'hysteria', 'has', 'ended']"
'The Five': Biden thinks ‘White supremacy’ is greatest threat to US,75000,43200,"['the', 'five', 'biden', 'thinks', 'white', 'supremacy', 'is', 'greatest', 'threat', 'to', 'us']"
Biden faces fierce backlash for ‘White supremacy’ warning,450000,43200,"['biden', 'faces', 'fierce', 'backlash', 'for', 'white', 'supremacy', 'warning']"
DeSantis has delivered a tsunami of conservative reform: Thiessen,59000,43200,"['desantis', 'has', 'delivered', 'a', 'tsunami', 'of', 'conservative', 'reform', 'thiessen']"
Biden admin ripped for what they claim as the 'greatest threat' against US,98000,43200,"['biden', 'admin', 'ripped', 'for', 'what', 'they', 'claim', 'as', 'the', 'greatest', 'threat', 'against', 'us']"
'An F on everything': Americans grade Biden's handling of border crisis,57000,43200,"['an', 'f', 'on', 'everything', 'americans', 'grade', 'bidens', 'handling', 'of', 'border', 'crisis']"
What happened in closed-door House hearing with ex-CIA boss?,783000,43200,"['what', 'happened', 'in', 'closeddoor', 'house', 'hearing', 'with', 'excia', 'boss']"
Rep. Donalds blasts Biden admin for ‘gaslighting’ Americans on border crisis,147000,43200,"['rep', 'donalds', 'blasts', 'biden', 'admin', 'for', 'gaslighting', 'americans', 'on', 'border', 'crisis']"
Judge Jeanine: This is a sad case,152000,43200,"['judge', 'jeanine', 'this', 'is', 'a', 'sad', 'case']"
Marco Rubio: We've never seen this in America before,107000,43200,"['marco', 'rubio', 'weve', 'never', 'seen', 'this', 'in', 'america', 'before']"
Alvin Bragg's charges against Marine veteran are based on race: Lee Zeldin,59000,43200,"['alvin', 'braggs', 'charges', 'against', 'marine', 'veteran', 'are', 'based', 'on', 'race', 'lee', 'zeldin']"
Ted Cruz torches 'AWOL' Biden as border crisis primed to intensify,131000,43200,"['ted', 'cruz', 'torches', 'awol', 'biden', 'as', 'border', 'crisis', 'primed', 'to', 'intensify']"
Kevin McCarthy: We have a severe problem if FBI can do this,507000,43200,"['kevin', 'mccarthy', 'we', 'have', 'a', 'severe', 'problem', 'if', 'fbi', 'can', 'do', 'this']"
Blinken should be impeached for role in Hunter laptop letter: Miranda Devine,264000,43200,"['blinken', 'should', 'be', 'impeached', 'for', 'role', 'in', 'hunter', 'laptop', 'letter', 'miranda', 'devine']"
Escaping a serial killer | The FOX True Crime Podcast,18000,43200,"['escaping', 'a', 'serial', 'killer', 'the', 'fox', 'true', 'crime', 'podcast']"
Nancy Mace: Amount of evidence in Biden probe is 'ridiculous',278000,43200,"['nancy', 'mace', 'amount', 'of', 'evidence', 'in', 'biden', 'probe', 'is', 'ridiculous']"
Kayleigh McEnany: The Biden campaign is in 'total chaos',124000,43200,"['kayleigh', 'mcenany', 'the', 'biden', 'campaign', 'is', 'in', 'total', 'chaos']"
Gutfeld: They're going to bring race into subway choke death case,272000,43200,"['gutfeld', 'theyre', 'going', 'to', 'bring', 'race', 'into', 'subway', 'choke', 'death', 'case']"
Anderson Cooper ripped for 'condescending' message after Trump town hall,148000,43200,"['anderson', 'cooper', 'ripped', 'for', 'condescending', 'message', 'after', 'trump', 'town', 'hall']"
Steve Forbes destroys Biden’s green agenda: ‘This thing doesn’t work’,67000,43200,"['steve', 'forbes', 'destroys', 'bidens', 'green', 'agenda', 'this', 'thing', 'doesnt', 'work']"
CNN's audience cheering for Trump triggers liberal meltdown,1600000,43200,"['cnns', 'audience', 'cheering', 'for', 'trump', 'triggers', 'liberal', 'meltdown']"
Alvin Bragg torched for prosecuting Marine in subway chokehold incident,347000,43200,"['alvin', 'bragg', 'torched', 'for', 'prosecuting', 'marine', 'in', 'subway', 'chokehold', 'incident']"
Byron Donalds: CNN ignored the important issues at Trump town hall,162000,43200,"['byron', 'donalds', 'cnn', 'ignored', 'the', 'important', 'issues', 'at', 'trump', 'town', 'hall']"
Disney CEO calls out DeSantis in ongoing clash,25000,43200,"['disney', 'ceo', 'calls', 'out', 'desantis', 'in', 'ongoing', 'clash']"
James Comer: Biden family members will 'more than likely' be subpoenaed,221000,43200,"['james', 'comer', 'biden', 'family', 'members', 'will', 'more', 'than', 'likely', 'be', 'subpoenaed']"
Gutfeld: This could happen to you,190000,43200,"['gutfeld', 'this', 'could', 'happen', 'to', 'you']"
'Absolutely preposterous' for networks to ignore this: Compagno,66000,43200,"['absolutely', 'preposterous', 'for', 'networks', 'to', 'ignore', 'this', 'compagno']"
"ABC, CBS, NBC bury Hunter Biden revelations",399000,43200,"['abc', 'cbs', 'nbc', 'bury', 'hunter', 'biden', 'revelations']"
Trump: This day will live in infamy,276000,43200,"['trump', 'this', 'day', 'will', 'live', 'in', 'infamy']"
FBI misses key deadline in Hunter Biden investigation,204000,43200,"['fbi', 'misses', 'key', 'deadline', 'in', 'hunter', 'biden', 'investigation']"
Can leading 2024 candidates remain on top? Political strategists weigh in | The Fox News Rundown,11000,43200,"['can', 'leading', 'candidates', 'remain', 'on', 'top', 'political', 'strategists', 'weigh', 'in', 'the', 'fox', 'news', 'rundown']"
Hannity: These are 'bombshell allegations' against the Biden family,300000,43200,"['hannity', 'these', 'are', 'bombshell', 'allegations', 'against', 'the', 'biden', 'family']"
This administration is lying: Tom Homan,147000,43200,"['this', 'administration', 'is', 'lying', 'tom', 'homan']"
The DOJ has destroyed its credibility: Former prosecutor,157000,43200,"['the', 'doj', 'has', 'destroyed', 'its', 'credibility', 'former', 'prosecutor']"
GOP Rep. George Santos arrested on 13 criminal charges,52000,43200,"['gop', 'rep', 'george', 'santos', 'arrested', 'on', 'criminal', 'charges']"
'IMAGINARY MONSTERS?': NYT reporter torched over 'condescending' tweet,322000,43200,"['imaginary', 'monsters', 'nyt', 'reporter', 'torched', 'over', 'condescending', 'tweet']"
Why Mr. Wonderful is all in on the dollar | Will Cain Podcast,13000,43200,"['why', 'mr', 'wonderful', 'is', 'all', 'in', 'on', 'the', 'dollar', 'will', 'cain', 'podcast']"
Texas ranchers share the consequences of Biden’s border policies,220000,43200,"['texas', 'ranchers', 'share', 'the', 'consequences', 'of', 'bidens', 'border', 'policies']"
James Comer: This looks like an organized crime unit,227000,43200,"['james', 'comer', 'this', 'looks', 'like', 'an', 'organized', 'crime', 'unit']"
Ingraham: Things look abysmal for Democrats,247000,43200,"['ingraham', 'things', 'look', 'abysmal', 'for', 'democrats']"
Joe Biden is enabling Hunter and it's sick: Sen. Johnson,101000,43200,"['joe', 'biden', 'is', 'enabling', 'hunter', 'and', 'its', 'sick', 'sen', 'johnson']"
Biden is 'greenlighting' illegal immigration: Rep. Waltz,29000,43200,"['biden', 'is', 'greenlighting', 'illegal', 'immigration', 'rep', 'waltz']"
Obama-era staffer claims Joe Biden 'masterminded' Hunter's scandal,584000,43200,"['obamaera', 'staffer', 'claims', 'joe', 'biden', 'masterminded', 'hunters', 'scandal']"
The media are ‘embarrassing’: Miranda Devine,42000,43200,"['the', 'media', 'are', 'embarrassing', 'miranda', 'devine']"
Nikki Haley: This is a dereliction of duty,25000,43200,"['nikki', 'haley', 'this', 'is', 'a', 'dereliction', 'of', 'duty']"
Kayleigh McEnany: Some are calling this state-sanctioned kidnapping,66000,43200,"['kayleigh', 'mcenany', 'some', 'are', 'calling', 'this', 'statesanctioned', 'kidnapping']"
‘The Five’: Biden just said his son has ‘done nothing wrong’,166000,43200,"['the', 'five', 'biden', 'just', 'said', 'his', 'son', 'has', 'done', 'nothing', 'wrong']"
No one's ever seen anything like this before: Compagno,132000,43200,"['no', 'ones', 'ever', 'seen', 'anything', 'like', 'this', 'before', 'compagno']"
SHOCK POLL: Trump surges ahead of Biden,150000,43200,"['shock', 'poll', 'trump', 'surges', 'ahead', 'of', 'biden']"
Hunter Biden's ex-associate told to 'spill dirt' to avoid jail: Report,301000,43200,"['hunter', 'bidens', 'exassociate', 'told', 'to', 'spill', 'dirt', 'to', 'avoid', 'jail', 'report']"
Steve Hilton: There is a war on our children,23000,43200,"['steve', 'hilton', 'there', 'is', 'a', 'war', 'on', 'our', 'children']"
Steve Hilton: Extremist Democrats are neglecting this,28000,43200,"['steve', 'hilton', 'extremist', 'democrats', 'are', 'neglecting', 'this']"
Massive migrant surge expected after Title 42 expires,42000,43200,"['massive', 'migrant', 'surge', 'expected', 'after', 'title', 'expires']"
'Badge of honor': Vivek Ramaswamy dismisses NYT report on 2024,65000,43200,"['badge', 'of', 'honor', 'vivek', 'ramaswamy', 'dismisses', 'nyt', 'report', 'on']"
Gov. Abbott claps back at Biden admin: 'Flat out lie or total ignorance',119000,43200,"['gov', 'abbott', 'claps', 'back', 'at', 'biden', 'admin', 'flat', 'out', 'lie', 'or', 'total', 'ignorance']"
'PROUD OF HIM': Biden breaks silence on potential Hunter indictment,204000,43200,"['proud', 'of', 'him', 'biden', 'breaks', 'silence', 'on', 'potential', 'hunter', 'indictment']"
Drag performer makes case for why kids do not belong in 'drag',101000,43200,"['drag', 'performer', 'makes', 'case', 'for', 'why', 'kids', 'do', 'not', 'belong', 'in', 'drag']"
We're letting in millions of invaders: Former Trump official,54000,43200,"['were', 'letting', 'in', 'millions', 'of', 'invaders', 'former', 'trump', 'official']"
What is King Charles’ plan for the future?,19000,43200,"['what', 'is', 'king', 'charles', 'plan', 'for', 'the', 'future']"
Royal expert on 'the elephant in the Abbey’ at King Charles' coronation,50000,43200,"['royal', 'expert', 'on', 'the', 'elephant', 'in', 'the', 'abbey', 'at', 'king', 'charles', 'coronation']"
Neil deGrasse Tyson warns AI could be 'final nail on the coffin of the internet' | Fox News Rundown,40000,43200,"['neil', 'degrasse', 'tyson', 'warns', 'ai', 'could', 'be', 'final', 'nail', 'on', 'the', 'coffin', 'of', 'the', 'internet', 'fox', 'news', 'rundown']"
Gutfeld: This was a silent coup by the deep state to help Biden,602000,43200,"['gutfeld', 'this', 'was', 'a', 'silent', 'coup', 'by', 'the', 'deep', 'state', 'to', 'help', 'biden']"
Judge Jeanine: This woman is an embarrassment,271000,43200,"['judge', 'jeanine', 'this', 'woman', 'is', 'an', 'embarrassment']"
Joe Rogan eviscerates DNC: 'That's not that democratic',296000,43200,"['joe', 'rogan', 'eviscerates', 'dnc', 'thats', 'not', 'that', 'democratic']"
Gutfeld: This college president got slammed for his Twitter likes,232000,43200,"['gutfeld', 'this', 'college', 'president', 'got', 'slammed', 'for', 'his', 'twitter', 'likes']"
Hannity spars with Marianne Williamson: 'What the hell does that mean?',110000,43200,"['hannity', 'spars', 'with', 'marianne', 'williamson', 'what', 'the', 'hell', 'does', 'that', 'mean']"
Why a former Marine involved in Jordan Neely’s death could face charges,44000,43200,"['why', 'a', 'former', 'marine', 'involved', 'in', 'jordan', 'neelys', 'death', 'could', 'face', 'charges']"
Gutfeld: We are screwed,547000,43200,"['gutfeld', 'we', 'are', 'screwed']"
Jesse Watters: This isn’t what police signed up for,145000,43200,"['jesse', 'watters', 'this', 'isnt', 'what', 'police', 'signed', 'up', 'for']"
